收支类型,账单类型,金额,手续费,不计收支,不计预算,分类,子分类,记账日期,备注信息,标签,报销状态,退款状态,退款金额,账本名称,账户名称,转入账户名称,借款账户名称
支出,普通收支,4267,,否,否,孩子,洛,2026-5-26 9:59,全托,,否,否,,,,,
支出,普通收支,46,,否,否,家庭日常,,2026-5-26 9:56,Raz aa,,否,否,,,,,
支出,普通收支,24,,否,否,家庭日常,,2026-5-26 9:56,金箔美文,,否,否,,,,,
支出,普通收支,26,,否,否,孩子,医疗,2026-5-26 9:56,艾,,否,否,,,,,
支出,普通收支,36,,否,否,家庭日常,,2026-5-26 9:56,包到，酸奶,,否,否,,,,,
支出,普通收支,18,,否,否,家庭日常,,2026-5-26 9:56,水杯架,,否,否,,,,,
支出,普通收支,34,,否,否,孩子,,2026-5-26 9:55,衣服,,否,否,,,,,
支出,普通收支,68,,否,否,家庭日常,出去吃,2026-5-26 9:55,海底捞,,否,否,,,,,
支出,普通收支,122,,否,否,家庭日常,出去吃,2026-5-26 9:55,野餐,,否,否,,,,,
支出,普通收支,103,,否,否,家庭日常,买菜,2026-5-26 9:54,,,否,否,,,,,
支出,普通收支,16,,否,否,孩子,,2026-5-25 21:18,Kkv贴纸,,否,否,,,,,
支出,普通收支,223,,否,否,家庭日常,出去吃,2026-5-25 21:17,照记吃饭,,否,否,,,,,
支出,普通收支,25,,否,否,家庭日常,皇冠,2026-5-25 21:17,推拿停车,,否,否,,,,,
支出,普通收支,125,,否,否,孩子,洛,2026-5-25 21:16,水牛奶,,否,否,,,,,
支出,普通收支,80,,否,否,家庭日常,皇冠,2026-5-25 21:14,艾力绅停车,,否,否,,,,,
支出,普通收支,526,,否,否,家庭日常,固定开销,2026-5-23 17:46,物业,,否,否,,,,,
支出,普通收支,28,,否,否,家庭日常,外卖,2026-5-23 17:6,,,否,否,,,,,
支出,普通收支,5000,,否,否,孩子,医疗,2026-5-22 16:34,推拿,,否,否,,,,,
支出,普通收支,128,,否,否,家庭日常,买菜,2026-5-21 19:13,榴莲,,否,否,,,,,
支出,普通收支,69,,否,否,孩子,玩,2026-5-21 19:12,医生玩具,,否,否,,,,,
支出,普通收支,14,,否,否,孩子,教育,2026-5-21 19:12,电动橡皮擦,,否,否,,,,,
支出,普通收支,37,,否,否,家庭日常,,2026-5-21 19:12,洗洁精泵,,否,否,,,,,
支出,普通收支,23,,否,否,孩子,洛,2026-5-21 19:12,画笔,,否,否,,,,,
支出,普通收支,258,,否,否,家庭日常,山姆,2026-5-21 19:12,,,否,否,,,,,
支出,普通收支,35,,否,否,孩子,洛,2026-5-21 19:11,打底裤,,否,否,,,,,
支出,普通收支,21,,否,否,孩子,玩,2026-5-21 19:11,积木,,否,否,,,,,
支出,普通收支,122,,否,否,孩子,洛,2026-5-21 19:11,拉拉裤,,否,否,,,,,
支出,普通收支,23,,否,否,家庭日常,,2026-5-21 19:11,纸巾,,否,否,,,,,
支出,普通收支,8,,否,否,孩子,教育,2026-5-21 19:11,尺子,,否,否,,,,,
支出,普通收支,10,,否,否,家庭日常,,2026-5-21 19:11,风扇,,否,否,,,,,
支出,普通收支,59,,否,否,孩子,洛,2026-5-21 19:10,发饰，内裤,,否,否,,,,,
支出,普通收支,119,,否,否,家庭日常,买菜,2026-5-21 19:10,小象,,否,否,,,,,
支出,普通收支,82,,否,否,家庭日常,出去吃,2026-5-21 19:10,海底捞,,否,否,,,,,
支出,普通收支,25,,否,否,孩子,洛,2026-5-21 19:10,白色外套,,否,否,,,,,
支出,普通收支,10,,否,否,孩子,教育,2026-5-21 19:9,歇后语,,否,否,,,,,
支出,普通收支,70,,否,否,孩子,洛,2026-5-21 19:9,裙子,,否,否,,,,,
支出,普通收支,129,,否,否,家庭日常,买菜,2026-5-21 19:9,榴莲,,否,否,,,,,
支出,普通收支,114,,否,否,家庭日常,买菜,2026-5-21 19:8,,,否,否,,,,,
支出,普通收支,49,,否,否,孩子,玩,2026-5-21 19:8,医生玩具,,否,否,,,,,
收入,普通收支,989,,否,否,职业收入,,2026-5-21 19:8,退费,,否,否,,,,,
支出,普通收支,539,,否,否,家庭日常,固定开销,2026-5-21 19:8,社保,,否,否,,,,,
支出,普通收支,167,,否,否,孩子,霖,2026-5-21 19:7,补品,,否,否,,,,,
支出,普通收支,58,,否,否,家庭日常,买菜,2026-5-21 19:7,,,否,否,,,,,
支出,普通收支,105,,否,否,家庭日常,买菜,2026-5-21 19:7,虾,,否,否,,,,,
支出,普通收支,179,,否,否,家庭日常,山姆,2026-5-21 19:7,,,否,否,,,,,
支出,普通收支,163,,否,否,家庭日常,固定开销,2026-5-20 19:43,水费,,否,否,,,,,
支出,普通收支,20,,否,否,孩子,洛,2026-5-18 20:42,玩,,否,否,,,,,
支出,普通收支,80,,否,否,家庭日常,皇冠,2026-5-17 21:14,4月11过路费,,否,否,,,,,
